Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
D4,ONSC-SOD-123-2-425-04_V,127.4mm,103.4mm,127.4mm,103.4mm,127.4mm,105.035mm,T,270.00,BAT54T1G
USB,PCB-ed55rmwyicl0n6piu1yt-1,121.25mm,104.425mm,121.25mm,103mm,119mm,107.99mm,T,0.00,Würth Elektronik 632723100011
C10,CAPC1608X90X35NL10T15,113.4mm,108.3mm,113.4mm,108.3mm,114.125mm,108.3mm,T,180.00,10uF
C1,CAPC1608X90X35LL15T15,107.1mm,103.6mm,107.1mm,103.6mm,107.1mm,102.95mm,T,90.00,10nF
C2,PCB-ul7goghxin8pri3xfob7-1,129.667mm,151.003mm,129.667mm,151.003mm,129.667mm,151.753mm,T,270.00,Cap
C3,PCB-ul7goghxin8pri3xfob7-1,134.2mm,152.5mm,134.2mm,152.5mm,134.95mm,152.5mm,T,180.00,Cap
C4,CAPC1608X90X35LL15T15,134.9mm,145.1mm,134.9mm,145.1mm,135.55mm,145.1mm,T,180.00,Kemet C0603C105K8PAC7867
C5,PCB-ul7goghxin8pri3xfob7-1,131.5mm,151mm,131.5mm,151mm,131.5mm,151.75mm,T,270.00,Cap
C6,0603C_A,127.254mm,131.572mm,127.254mm,131.572mm,127.9525mm,131.572mm,T,0.00,Murata GRM1885C1H200JA01D
C7,0603C_A,127.254mm,128.397mm,127.254mm,128.397mm,127.9525mm,128.397mm,T,0.00,Murata GRM1885C1H200JA01D
C8,0603C_A,128.7mm,125.8mm,128.7mm,125.8mm,128.0015mm,125.8mm,T,180.00,Murata GRM1885C1H200JA01D
C9,0603C_A,112.6mm,125.8mm,112.6mm,125.8mm,113.2985mm,125.8mm,T,0.00,Murata GRM1885C1H200JA01D
C11,PCB-ul7goghxin8pri3xfob7-1,116.4mm,109.5mm,116.4mm,109.5mm,115.65mm,109.5mm,T,0.00,Cap
C12,PCB-ul7goghxin8pri3xfob7-1,113.284mm,117.983mm,113.284mm,117.983mm,112.534mm,117.983mm,T,360.00,Cap
C13,PCB-ul7goghxin8pri3xfob7-1,127.6mm,120.4mm,127.6mm,120.4mm,128.35mm,120.4mm,T,180.00,Cap
C14,CAPC1608X90X35LL15T15,130.302mm,102.235mm,130.302mm,102.235mm,129.652mm,102.235mm,T,360.00,Kemet C0603C105K8PAC7867
