"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"4V","0603D_B","110mm","104.2mm","110mm","104.2mm","110.762mm","104.2mm","T","180.00","Vishay TLMO1000-GS08"
"R19","RESC1608X55X30ML20T10","113.5mm","104.2mm","113.5mm","104.2mm","112.75mm","104.2mm","T","360.00","KOA Speer RK73H1JTTD1200F"
"R18","PCB-12519960-1","122.3mm","139.1mm","122.3mm","139.1mm","122.3mm","138.375mm","T","90.00","Panasonic ERJPA3F22R0V"
"R17","PCB-12519960-1","120.2mm","139.1mm","120.2mm","139.1mm","120.2mm","138.375mm","T","90.00","Panasonic ERJPA3F22R0V"
"D2","ONSC-SC70-5-419A-02_V","121.3mm","146.4mm","121.3mm","146.4mm","121.95mm","147.35mm","T","270.00","SMF05T1G"
"D1","ONSC-SOD-123-2-425-04_V","133mm","106.8mm","133mm","106.8mm","131.365mm","106.8mm","T","360.00","BAT54T1G"
"L1","PCB-v9jx0lq653mf0ffp7wph-1","127.4mm","104.5mm","127.4mm","104.5mm","128.15mm","104.5mm","T","180.00","4.7uH"
"R8","R_0603_HI","130.5mm","119.5mm","130.5mm","119.5mm","130.5mm","118.85mm","T","90.00","10K 0603"
"R1","RESC1608X55X30ML15T15","134.6mm","103.4mm","134.6mm","103.4mm","134.6mm","104.125mm","T","270.00","100k"
"U1","PCB-clforn7vyk9avenopa5y-1","131.1mm","103.9mm","131.1mm","103.9mm","129.9mm","104.85mm","T","360.00","Monolithic Power Systems MP2359DT-LF-P"
"C10","PCB-mhhqftc5ilnrg4qi8ds6-1","124.4mm","143.2mm","124.4mm","143.2mm","124.4mm","143.9mm","T","270.00","100nF"
"Q1","PCB-ziwija0k6kzehc3r3ytq-1","110.5mm","130mm","110.5mm","130mm","109.5mm","130.95mm","T","360.00","NPN"
"J3","PCB-z7h2i0gcrumnnf8u083h-1","121.245mm","147.122mm","121.25mm","141mm","118.075mm","141.077mm","B","0.00","NanoSIM Conn"
"NET","VISH-LED0603-2_V","111.5mm","120.3mm","111.5mm","120.3mm","111.5mm","119.55mm","T","90.00","Vishay VLMW1300-GS08"
